Claim Key," Policy 
 Branch ",Policy Type,Premium Class,"Policy  
Number  ",Date Incurred,Date of Loss," Claim 
 Status",Claimant  ,"Claim      
Narrative  ",Gross Sum Insured,Reinsurance Recoveries,Total Recovered,Current Gross Outstanding,Transaction Amount,Total Paid,Incurred Claims - Gross of reinsurance,Incurred Claims Net of Reinsurance,Incurred Claims Net of All Recoveries,Paid Claims Net of Reinsurance,Paid Claims net of All Recoveries,Max Incurred Claim,Max Claim Paid,Date of Loss Code,Transaction Date Code,Delay,Min of Delay,Policy class,Product Group,Large Loss Threshold,Incremental Attritional Losses,Incremental Large Losses,Incurred for claims incurred in prior quarters,Incremental Claim Amount
5000010,10,50A,EN3,5000456,20-May-09,27-Feb-09,O,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,0,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,13-Jul-09,27-Feb-09,O,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,0,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,13-Jul-09,27-Feb-09,F,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,," 1,096.20 ",0,0,1566,1566,1566, 469.80 , 469.80 , 469.80 , 469.80 ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,21-Jul-09,27-Feb-09,R,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,-1566,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,27-Aug-09,27-Feb-09,R,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,0,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,27-Aug-09,27-Feb-09,F,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,," 1,096.20 ",0,0,1566,1566,1566, 469.80 , 469.80 , 469.80 , 469.80 ,1566,1566,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,20-Sep-10,27-Feb-09,R,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,-1566,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,22-Sep-10,27-Feb-09,R,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,, -   ,0,1566,0,0,1566," 1,566.00 "," 1,566.00 ", -   , -   ,1566,1566,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,22-Sep-10,27-Feb-09,R,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,," 1,096.20 ",0,0,1566,1566,1566, 469.80 , 469.80 , 469.80 , 469.80 ,1566,1566,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000010,10,50A,EN3,5000456,13-Apr-11,27-Feb-09,F,St Georges College & Hartmann House,LIGHTNING STRIKE-PABX,," 1,096.20 ",0,0,0,1566,1566, 469.80 , 469.80 , 469.80 , 469.80 ,1566,1566,2009,2011,2,0,Engineering,Transport and Engineering,error,error,error,error,error
5000045,11,33A,IT4,5000685,01-Jun-09,13-Mar-09,O,Western Transport,AAF1319 MAIZE BAGS FELL & DMGD,, -   ,0,90,0,0,90, 90.00 , 90.00 , -   , -   ,90,90,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000045,11,33A,IT4,5000685,17-Jul-09,13-Mar-09,F,Western Transport,AAF1319 MAIZE BAGS FELL & DMGD,, -   ,0,0,0,0,0, -   , -   , -   , -   ,90,90,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000045,11,33A,IT4,5000685,29-Jul-09,13-Mar-09,F,Western Transport,AAF1319 MAIZE BAGS FELL & DMGD,, -   ,0,0,0,0,0, -   , -   , -   , -   ,90,90,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000045,11,33A,IT4,5000685,29-Jul-09,13-Mar-09,R,Western Transport,AAF1319 MAIZE BAGS FELL & DMGD,, -   ,0,90,0,0,90, 90.00 , 90.00 , -   , -   ,90,90,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000045,11,33A,IT4,5000685,29-Jul-09,13-Mar-09,F,Western Transport,AAF1319 MAIZE BAGS FELL & DMGD,, 63.00 ,0,0,90,90,90, 27.00 , 27.00 , 27.00 , 27.00 ,90,90,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,17-Jun-09,29-Mar-09,O,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, -   ,0,877,0,0,877, 877.00 , 877.00 , -   , -   ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,17-Jul-09,29-Mar-09,O,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, -   ,0,789,0,0,789, 789.00 , 789.00 , -   , -   ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,17-Jul-09,29-Mar-09,F,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, 552.30 ,0,0,789,789,789, 236.70 , 236.70 , 236.70 , 236.70 ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,17-Jul-09,29-Mar-09,R,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, -   ,0,789,-789,0,789, 789.00 , 789.00 , -   , -   ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,29-Jul-09,29-Mar-09,R,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, -   ,0,789,0,0,789, 789.00 , 789.00 , -   , -   ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000100,11,50A,EN3,5002015,29-Jul-09,29-Mar-09,F,ST PATRICKS CHRISTIAN BROTHERS,LIGHTNING DAMAGE TO PABX,, 552.30 ,0,0,789,789,789, 236.70 , 236.70 , 236.70 , 236.70 ,877,789,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,22-Jun-09,02-Apr-09,O,St Georges College & Hartmann House,THEFT,, -   ,0,760.75,0,0,760.75, 760.75 , 760.75 , -   , -   ,760.75,760.75,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,20-Aug-09,02-Apr-09,O,St Georges College & Hartmann House,THEFT,, -   ,0,760.75,0,0,760.75, 760.75 , 760.75 , -   , -   ,760.75,760.75,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,20-Aug-09,02-Apr-09,F,St Georges College & Hartmann House,THEFT,, 532.53 ,0,0,760.75,760.75,760.75, 228.22 , 228.22 , 228.22 , 228.22 ,760.75,760.75,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,29-Apr-10,02-Apr-09,F,St Georges College & Hartmann House,THEFT,, 532.53 ,0,0,0,760.75,760.75, 228.22 , 228.22 , 228.22 , 228.22 ,760.75,760.75,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,20-Sep-10,02-Apr-09,R,St Georges College & Hartmann House,THEFT,, -   ,0,760.75,-760.75,0,760.75, 760.75 , 760.75 , -   , -   ,760.75,760.75,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,22-Sep-10,02-Apr-09,R,St Georges College & Hartmann House,THEFT,, -   ,0,760.75,0,0,760.75, 760.75 , 760.75 , -   , -   ,760.75,760.75,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,22-Sep-10,02-Apr-09,R,St Georges College & Hartmann House,THEFT,, 532.53 ,0,0,760.75,760.75,760.75, 228.22 , 228.22 , 228.22 , 228.22 ,760.75,760.75,2009,2010,1,0,Engineering,Transport and Engineering,error,error,error,error,error
5000113,10,50A,EN3,5000456,27-Apr-11,02-Apr-09,F,St Georges College & Hartmann House,THEFT,, 532.53 ,0,0,0,760.75,760.75, 228.22 , 228.22 , 228.22 , 228.22 ,760.75,760.75,2009,2011,2,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,09-Jul-09,10-Jun-09,O,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, -   ,0,716,0,0,716, 716.00 , 716.00 , -   , -   ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,16-Jul-09,10-Jun-09,O,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, -   ,0,715.5,0,0,715.5, 715.50 , 715.50 , -   , -   ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,16-Jul-09,10-Jun-09,F,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, 500.85 ,0,0,715.5,715.5,715.5, 214.65 , 214.65 , 214.65 , 214.65 ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,17-Jul-09,10-Jun-09,R,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, -   ,0,715.5,-715.5,0,715.5, 715.50 , 715.50 , -   , -   ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,05-Aug-09,10-Jun-09,R,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, -   ,0,715.5,0,0,715.5, 715.50 , 715.50 , -   , -   ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000170,11,50A,EN3,5002867,05-Aug-09,10-Jun-09,F,MR. W T KNOX,POWERSURGE TO LAPTOP  CF/1388,, 500.85 ,0,0,715.5,715.5,715.5, 214.65 , 214.65 , 214.65 , 214.65 ,716,715.5,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000238,11,60A,FG1,5001343,17-Jul-09,02-Feb-09,O,EDGARS STORES LIMITED,THEFT OF MONEY        CF/1193,, -   ,0,240,0,0,240, 240.00 , 240.00 , -   , -   ,240,0,2009,2009,0,0,Guarantee,Transport and Engineering,error,error,error,error,error
5000238,11,60A,FG1,5001343,17-Jul-09,02-Feb-09,F,EDGARS STORES LIMITED,THEFT OF MONEY        CF/1193,, -   ,0,0,0,0,0, -   , -   , -   , -   ,240,0,2009,2009,0,0,Guarantee,Transport and Engineering,error,error,error,error,error
5000238,11,60A,FG1,5001343,17-Jul-09,02-Feb-09,F,EDGARS STORES LIMITED,THEFT OF MONEY        CF/1193,, -   ,0,0,0,0,0, -   , -   , -   , -   ,240,0,2009,2009,0,0,Guarantee,Transport and Engineering,error,error,error,error,error
5000336,11,50A,EN3,5002867,14-Aug-09,23-Jun-09,O,MR. W T KNOX,THEFT CF/1445,, -   ,0,180,0,0,180, 180.00 , 180.00 , -   , -   ,180,180,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000336,11,50A,EN3,5002867,14-Aug-09,23-Jun-09,F,MR. W T KNOX,THEFT CF/1445,, 126.00 ,0,0,180,180,180, 54.00 , 54.00 , 54.00 , 54.00 ,180,180,2009,2009,0,0,Engineering,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,07-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,, -   ,0,1000,0,0,1000," 1,000.00 "," 1,000.00 ", -   , -   ,4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,07-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,, -   ,0,4500,0,0,4500," 4,500.00 "," 4,500.00 ", -   , -   ,4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,16-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,, -   ,0,2643,0,0,2643," 2,643.00 "," 2,643.00 ", -   , -   ,4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,16-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,," 1,316.50 ",0,10,2633,2633,2643," 1,326.50 "," 1,326.50 "," 1,316.50 "," 1,316.50 ",4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,16-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,, -   ,0,2643,-2633,0,2643," 2,643.00 "," 2,643.00 ", -   , -   ,4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,16-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,, -   ,0,2643,0,0,2643," 2,643.00 "," 2,643.00 ", -   , -   ,4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
5000418,11,33A,IT4,5000685,16-Sep-09,19-Aug-09,O,Western Transport,496307N CONSIGNMENT FEL CF1509,," 1,316.50 ",0,10,2633,2633,2643," 1,326.50 "," 1,326.50 "," 1,316.50 "," 1,316.50 ",4500,4220,2009,2009,0,0,Transportation,Transport and Engineering,error,error,error,error,error
